Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES
jared-at-lake-grove-commons,JARED AT LAKE GROVE COMMONS,TRUE,"New Moriches Road, 160","",11755,Lake Grove,New York,USA,(+1) 631-580-4780,panagiota.coutis@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT LAKE GROVE COMMONS,"",JARED AT LAKE GROVE COMMONS,"",40.8705809,-73.1272741,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jared-at-montrose-center,JARED AT MONTROSE CENTER,TRUE,"Medina Road, 3900","",44333,Akron,Ohio,USA,(+1) 330-665-1994,hollie.geyer-rasnick@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT MONTROSE CENTER,"",JARED AT MONTROSE CENTER,"",41.1346486,-81.6388695,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jared-at-north-point-mall,JARED AT NORTH POINT MALL,TRUE,"North Point Parkway, 6250","",30022,Alpharetta,Georgia,USA,(+1) 770-753-0705,stephen.motes@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT NORTH POINT MALL,"",JARED AT NORTH POINT MALL,"",34.0468123,-84.2903334,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jared-at-san-antonio-plaza,JARED AT SAN ANTONIO PLAZA,TRUE,"San Antonio Rd. Suite 19, 685","",94040,Mountain View,California,USA,(+1) 650-917-9378,tyler.wolfe@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT SAN ANTONIO PLAZA,"",JARED AT SAN ANTONIO PLAZA,"",37.4074199,-122.1092152,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jared-at-the-loop,JARED AT THE LOOP,TRUE,"West Osceola Parkway, 2411","",34741,Kissimmee,Florida,USA,(+1) 407-932-0265,sugeily.riveraramos@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT THE LOOP,"",JARED AT THE LOOP,"",28.3426666,-81.4270409,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jared-at-watchung-square,JARED AT WATCHUNG SQUARE,TRUE,"U.S. 22 West, 1529","",7069,Watchung,New Jersey,USA,(+1) 908-222-8738,lisa.williams-2@signetjewelers.com,www.stores.jared.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JARED AT WATCHUNG SQUARE,"",JARED AT WATCHUNG SQUARE,"",40.6418604,-74.4145646,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney,JC PENNEY,TRUE,2190 Idaho St,"",89801,Elko,Nevada,USA,(+1) 775-738-7274,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",40.8497962,-115.7433737,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney-2,JC PENNEY,TRUE,5200 Meadowood Mall Cir,"",89502,Reno,Nevada,USA,(+1) 775-827-2700,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",39.4728741,-119.784402,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney-3,JC PENNEY,TRUE,3939 S Carson St,"",89701,Carson City,Nevada,USA,(+1) 775-884-3330,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",39.1307781,-119.766671,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney-4,JC PENNEY,TRUE,4400 Meadows Lane,"",89107,Las Vegas,Nevada,USA,(+1) 702-870-9182,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",36.1722395,-115.1983644,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney-5,JC PENNEY,TRUE,4485 S Grand Canyon Dr,"",89147,Las Vegas,Nevada,USA,(+1) 702-876-3644,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",36.1086499,-115.3094411,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jc-penney-6,JC PENNEY,TRUE,1312 W Sunset Rd,"",89014,Henderson,Nevada,USA,(+1) 702-451-4545,,,,,,,,,,,JC PENNEY,"",JC PENNEY,"",36.0680582,-115.0419653,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
jems-jewels-and-gold,JEMS JEWELS AND GOLD,TRUE,The Shoppes at English Village,"",19454,North Wales,Pennsylvania,USA,,,,,,,,,,,,JEMS JEWELS AND GOLD,"",JEMS JEWELS AND GOLD,"",40.2088345,-75.2230651,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewel-shop,JEWEL SHOP,TRUE,"3rd Street Promenade, 1353","",90401,Santa Monica,California,USA,,,,,,,,,,,,JEWEL SHOP,"",JEWEL SHOP,"",34.0159464,-118.4962549,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-las-vegas-blvd,JEWELERS OF LAS VEGAS - LAS VEGAS BLVD,TRUE,3930 Las Vegas Blvd S suite 127a,"",89119,Las Vegas,Nevada,USA,(+1) 702-798-1790,,,,,,,,,,,JEWELERS OF LAS VEGAS - LAS VEGAS BLVD,"",JEWELERS OF LAS VEGAS - LAS VEGAS BLVD,"",36.0942477,-115.1762944,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-mgm-grand,JEWELERS OF LAS VEGAS - MGM GRAND,TRUE,"MGM Grand, South Las Vegas Boulevard","",89109,Las Vegas,Nevada,USA,(+1) 702-891-3440,,,,,,,,,,,JEWELERS OF LAS VEGAS - MGM GRAND,"",JEWELERS OF LAS VEGAS - MGM GRAND,"",36.1036224,-115.1675744,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-red-rock-casino-resort-and-spa,JEWELERS OF LAS VEGAS - RED ROCK CASINO RESORT AND SPA,TRUE,"Red Rock Casino Resort and Spa, West Charleston Boulevard","",89135,Las Vegas,Nevada,USA,(+1) 702-737-6257,,,,,,,,,,,JEWELERS OF LAS VEGAS - RED ROCK CASINO RESORT AND SPA,"",JEWELERS OF LAS VEGAS - RED ROCK CASINO RESORT AND SPA,"",36.1570155,-115.3335672,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-the-palazzo-at-the-venetian-resort,JEWELERS OF LAS VEGAS - THE PALAZZO AT THE VENETIAN RESORT,TRUE,"The Palazzo at The Venetian Resort, South Las Vegas Boulevard","",89109,Las Vegas,Nevada,USA,(+1) 702-734-5100,,,,,,,,,,,JEWELERS OF LAS VEGAS - THE PALAZZO AT THE VENETIAN RESORT,"",JEWELERS OF LAS VEGAS - THE PALAZZO AT THE VENETIAN RESORT,"",36.1240054,-115.1679583,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-the-spa-at-virgin-hotels,JEWELERS OF LAS VEGAS - THE SPA AT VIRGIN HOTELS,TRUE,"The Spa at Virgin Hotels Las Vegas, 4455 Paradise Rd","",89169,Las Vegas,Nevada,USA,(+1) 702-693-4445,,,,,,,,,,,JEWELERS OF LAS VEGAS - THE SPA AT VIRGIN HOTELS,"",JEWELERS OF LAS VEGAS - THE SPA AT VIRGIN HOTELS,"",36.1110872,-115.1546396,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelers-of-las-vegas-west-lake-mead-boulevard,JEWELERS OF LAS VEGAS - WEST LAKE MEAD BOULEVARD,TRUE,"The Jewelers of Las Vegas, West Lake Mead Boulevard","",89109,Las Vegas,Nevada,USA,(+1) 702-242-2000,,,,,,,,,,,JEWELERS OF LAS VEGAS - WEST LAKE MEAD BOULEVARD,"",JEWELERS OF LAS VEGAS - WEST LAKE MEAD BOULEVARD,"",36.1986382,-115.2799439,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelry-at-the-one,JEWELRY AT THE ONE,TRUE,"North Fort Lauderdale Beach Boulevard, 1","",33304,Fort Lauderdale,Florida,USA,,jewelryattheone@gmail.com,,,,,,,,,,JEWELRY AT THE ONE,"",JEWELRY AT THE ONE,"",26.1230213,-80.1047757,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jewelry-pavilion,JEWELRY PAVILION,TRUE,"West 7th Street, 750","",90017,Los Angeles,California,USA,,,http://jpavilion.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JEWELRY PAVILION,"",JEWELRY PAVILION,"",34.0473547,-118.2592097,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
jh-young-and-sons-ltd,JH YOUNG AND SONS LTD.,TRUE,126 LYNDEN ROAD,"",N3R 8A3,Brantford,Ontario,Canada,(+1) 519-752-2330,info@jhyoung.com,https://jhyoung.com/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,JH YOUNG AND SONS LTD.,"",JH YOUNG AND SONS LTD.,"",43.173766,-80.2364128,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>, CARAVELLE, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/SEIKO"">SEIKO</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
joaillerie-galazzo-pointe-claire,JOAILLERIE GALAZZO POINTE CLAIRE,TRUE,6361 Trans-Canada Hwy Local 118,"",H9R 5A5,Pointe-Claire,Quebec,Canada,(+1) 514-693-0756,,https://galazzojewelry.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,JOAILLERIE GALAZZO POINTE CLAIRE,"",JOAILLERIE GALAZZO POINTE CLAIRE,"",45.4671649,-73.8278926,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MONTBLANC"">MONTBLANC</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/SWAROVSKI"">SWAROVSKI</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>, <a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>, X","","","",,"","","",,"","","",,"","","",,"","",""
joaillerie-galazzo-rosemere,JOAILLERIE GALAZZO ROSEMERE,TRUE,401 boul. Labelle,"",J7A 3T2,Rosemere,Quebec,Canada,(+1) 450-437-5097,,https://www.galazzo.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,JOAILLERIE GALAZZO ROSEMERE,"",JOAILLERIE GALAZZO ROSEMERE,"",45.6304352,-73.8197737,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MONTBLANC"">MONTBLANC</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,<a href=""https://watchdna.com/blogs/history/SWAROVSKI"">SWAROVSKI</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>, <a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>, X","","","",,"","","",,"","","",,"","","",,"","",""
jose-beltran,JOSE BELTRAN,TRUE,2633 Windmill Pkwy,"",89074,Henderson,Nevada,USA,(+1) 702-795-0304,,,,,,,,,,,JOSE BELTRAN,"",JOSE BELTRAN,"",36.0408402,-115.101342,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
joseph-anthony-fine-jewelry,JOSEPH ANTHONY FINE JEWELRY,TRUE,100 Eugenie ST. W,"",N8X 4Y6,Windsor,Ontario,Canada,(+1) 519-966-6906,,https://www.joseph-anthony.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,JOSEPH ANTHONY FINE JEWELRY,"",JOSEPH ANTHONY FINE JEWELRY,"",42.2863351,-83.0198147,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/CARTIER"">CARTIER</A>, <a href=""https://watchdna.com/blogs/history/TUDOR"">TUDOR</A>, <a href=""https://watchdna.com/blogs/history/BREITLING"">BREITLING</A>, <a href=""https://watchdna.com/blogs/history/CHANEL "">CHANEL </A>, <a href=""https://watchdna.com/blogs/history/GUCCI"">GUCCI</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/IWC"">IWC</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MONTBLANC"">MONTBLANC</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>, <a href=""https://watchdna.com/blogs/history/TAG-HEUER"">TAG HEUER</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
joyce-s-jewelry,JOYCE'S JEWELRY,TRUE,5 East Main Street,"",15401,Uniontown,Pennsylvania,USA,(+1) 724-439-4278,,,,,,,,,,,JOYCE'S JEWELRY,"",JOYCE'S JEWELRY,"",39.9014818,-79.7251332,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
joyces-jewelry,JOYCES JEWELRY,TRUE,1503 Highway 395 N,"",89410,Gardnerville,Nevada,USA,(+1) 775-782-5631,,,,,,,,,,,JOYCES JEWELRY,"",JOYCES JEWELRY,"",38.946295,-119.7550498,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>","","","",,"","","",,"","","",,"","","",,"","",""
juhas-sullivan-jewelry-design,JUHAS & SULLIVAN JEWELRY DESIGN,TRUE,"East Paris Avenue Southeast, 1100","",49546,Grand Rapids,Michigan,USA,,,http://www.juhasandsullivan.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,JUHAS & SULLIVAN JEWELRY DESIGN,"",JUHAS & SULLIVAN JEWELRY DESIGN,"",42.9423537,-85.5676958,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
juwelier-engel,JUWELIER ENGEL,TRUE,Simeonstrasse 4,"",54290,Trier,Rhineland‑Palatinate,Germany,(+49)-06-51-7-53-59,info@juwelier-engel.de,www.juwelier-engel.de,,,,,,,,,JUWELIER ENGEL,"",JUWELIER ENGEL,"",49.7592299,6.6441729,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
juwelier-hochholzer-gmbh,JUWELIER HOCHHOLZER GMBH,TRUE,Hauptplatz 27,"",3300,Amstetten,Lower Austria,Austria,(+43)747268212,juwelier@hochholzer.at,www.hochholzer.at,,,,,,,,,JUWELIER HOCHHOLZER GMBH,"",JUWELIER HOCHHOLZER GMBH,"",48.1229008,14.8719487,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
juwelier-kerner,JUWELIER KERNER,TRUE,Münsterplatz 17,"",89073,Ulm,Baden-Württemberg,Germany,(+49)-731-3886470,mail@juwelier-kerner.de,www.juwelier-kerner.de,https://cdn.shopify.com/s/files/1/0755/6235/2943/files/laden-geschaeft.webp?v=1753478250,,,,,,,,JUWELIER KERNER,"Juwelier Kerner
In dem fast fünfhundert Jahre alten Fachwerkhaus treffen Tradition und Moderne im hochwertigen Juwelen Luxusbereich zusammen.

Das seit 1884 in steter Familienfolge geführte Ulmer Juweliergeschäft gehört zu den letzten drei traditionsreichen Geschäften dieser Art in Deutschland.",JUWELIER KERNER,"Juwelier Kerner
In dem fast fünfhundert Jahre alten Fachwerkhaus treffen Tradition und Moderne im hochwertigen Juwelen Luxusbereich zusammen.

Das seit 1884 in steter Familienfolge geführte Ulmer Juweliergeschäft gehört zu den letzten drei traditionsreichen Geschäften dieser Art in Deutschland.",48.3991741,9.9926148,1,"","","","","","","","","",FORTIS,"<a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/BREITLING"">BREITLING</A>, <a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>, <a href=""https://watchdna.com/blogs/history/GLASHuTTE-ORIGINAL"">GLASHÜTTE ORIGINAL</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/SINN"">SINN</A>, <a href=""https://watchdna.com/blogs/history/ZENITH"">ZENITH</A>","","","",Instagram,"","","",https://www.instagram.com/juwelier.kerner/,"","","","","","","","","","",""
juwelier-schmollgruber,JUWELIER SCHMOLLGRUBER,TRUE,Burggasse 3,"",1070,Wien,Vienna,Austria,(+43)1-5233655,officegm@schmollgruber.at,www.schmollgruber.at,,,,,,,,,JUWELIER SCHMOLLGRUBER,"",JUWELIER SCHMOLLGRUBER,"",48.2042752,16.3566972,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
juwelier-schwedler,JUWELIER SCHWEDLER,TRUE,Pfisterstrasse 7 (Am Platz),"",80331,München,Bavaria,Germany,(+49)-89-28809950,info@uhren-schwedler.de,www.uhren-schwedler.de,,,,,,,,,JUWELIER SCHWEDLER,"",JUWELIER SCHWEDLER,"",48.1384077,11.5796937,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
juwelier-van-hooff,JUWELIER VAN HOOFF,TRUE,Stationsstraat 4,"",5751HE,Deurne,North Brabant,Netherlands,(+31)493-313-296,info@juwelier-vanhooff.nl,www.juwelier-vanhooff.nl,,,,,,,,,JUWELIER VAN HOOFF,"",JUWELIER VAN HOOFF,"",51.4635849,5.7938318,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
k-co-family-jewelers,K & CO. FAMILY JEWELERS,TRUE,"South Ancona Avenue, 1060 Suite 120","",83616,Eagle,Idaho,USA,,,https://www.kandcofamilyjewelers.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,K & CO. FAMILY JEWELERS,"",K & CO. FAMILY JEWELERS,"",43.6860768,-116.3280749,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
karats-jewelers,KARATS JEWELERS,TRUE,"West 135th Street, 8651","",66223,Overland Park,Kansas,USA,,,http://www.karats.us/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,KARATS JEWELERS,"",KARATS JEWELERS,"",38.8832754,-94.6856916,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
kavar-jewellers-brampton,KAVAR JEWELLERS BRAMPTON,TRUE,"Bramalea city center, 25 Peel Centre Drive L6T 3R5","",L6T 3R5,Brampton,Ontario,Canada,(+1) 905-458-5588,brampton@kavarjewellers.ca,https://www.kavarjewellers.ca/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,KAVAR JEWELLERS BRAMPTON,"",KAVAR JEWELLERS BRAMPTON,"",43.7155479,-79.7219819,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>, <a href=""https://watchdna.com/blogs/history/SEIKO"">SEIKO</A>","","","",,"","","",,"","","",,"","","",,"","",""
kavar-jewellers-newmarket,KAVAR JEWELLERS NEWMARKET,TRUE,"Upper Canada Mall, 17600 Yonge Street L3Y 4Z1","",L3Y 4Z1,Newmarket,Ontario,Canada,(+1) 905-836-9256,brampton@kavarjewellers.ca,https://www.kavarjewellers.ca/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,KAVAR JEWELLERS NEWMARKET,"",KAVAR JEWELLERS NEWMARKET,"",44.0563228,-79.485071,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>, <a href=""https://watchdna.com/blogs/history/SEIKO"">SEIKO</A>","","","",,"","","",,"","","",,"","","",,"","",""
kavar-jewellers-st-catharines,KAVAR JEWELLERS ST CATHARINES,TRUE,"The pen center, 221 GLENDALE AV L2T 2K9","",L2T 2K9,St catharines,Ontario,Canada,(+1) 905-704-0632,kavarjewellers@gmail.com,https://www.kavar.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,KAVAR JEWELLERS ST CATHARINES,"",KAVAR JEWELLERS ST CATHARINES,"",43.1356599,-79.2249817,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BAUME-MERCIER"">BAUME ET MERCIER</A>, <a href=""https://watchdna.com/blogs/history/BOSS"">BOSS</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, FERRARI,<a href=""https://watchdna.com/blogs/history/GRAND-SEIKO"">GRAND SEIKO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MIDO"">MIDO</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>, <a href=""https://watchdna.com/blogs/history/SEIKO"">SEIKO</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>","","","",,"","","",,"","","",,"","","",,"","",""
